Summary,Precip Type,Temperature,Apparent Temperature,Humidity,Wind Speed (km/h),Pressure (millibars)
Partly Cloudy,rain,9.472222222,7.388888889,0.89,14.1197,1015.13
Partly Cloudy,rain,9.355555556,7.227777778,0.86,14.2646,1015.63
Mostly Cloudy,rain,9.377777778,9.377777778,0.89,3.9284,1015.94
Partly Cloudy,rain,8.288888889,5.944444444,0.83,14.1036,1016.41
Mostly Cloudy,rain,8.755555556,6.977777778,0.83,11.0446,1016.51
Partly Cloudy,rain,9.222222222,7.111111111,0.85,13.9587,1016.66
Partly Cloudy,rain,7.733333333,5.522222222,0.95,12.3648,1016.72
Partly Cloudy,rain,8.772222222,6.527777778,0.89,14.1519,1016.84
Partly Cloudy,rain,10.82222222,10.82222222,0.82,11.3183,1017.37
Partly Cloudy,rain,13.77222222,13.77222222,0.72,12.5258,1017.22
Partly Cloudy,rain,16.01666667,16.01666667,0.67,17.5651,1017.42
Partly Cloudy,rain,17.14444444,17.14444444,0.54,19.7869,1017.74
Partly Cloudy,rain,17.8,17.8,0.55,21.9443,1017.59
Partly Cloudy,rain,17.33333333,17.33333333,0.51,20.6885,1017.48
Partly Cloudy,rain,18.87777778,18.87777778,0.47,15.3755,1017.17
Partly Cloudy,rain,18.91111111,18.91111111,0.46,10.4006,1016.47
Partly Cloudy,rain,15.38888889,15.38888889,0.6,14.4095,1016.15
Mostly Cloudy,rain,15.55,15.55,0.63,11.1573,1016.17
Mostly Cloudy,rain,14.25555556,14.25555556,0.69,8.5169,1015.82
Mostly Cloudy,rain,13.14444444,13.14444444,0.7,7.6314,1015.83
Mostly Cloudy,rain,11.55,11.55,0.77,7.3899,1015.85
Mostly Cloudy,rain,11.18333333,11.18333333,0.76,4.9266,1015.77
Partly Cloudy,rain,10.11666667,10.11666667,0.79,6.6493,1015.4
Mostly Cloudy,rain,10.2,10.2,0.77,3.9284,1015.51
Partly Cloudy,rain,10.42222222,10.42222222,0.62,16.9855,1014.4
Partly Cloudy,rain,9.911111111,7.566666667,0.66,17.2109,1014.2
Mostly Cloudy,rain,11.18333333,11.18333333,0.8,10.8192,1008.71
Partly Cloudy,rain,7.155555556,5.044444444,0.79,11.0768,1014.47
Partly Cloudy,rain,6.111111111,4.816666667,0.82,6.6493,1014.45
Partly Cloudy,rain,6.788888889,4.272222222,0.83,13.0088,1014.49
Mostly Cloudy,rain,7.261111111,5.155555556,0.85,11.1734,1014.52
Mostly Cloudy,rain,7.8,5.527777778,0.83,12.8156,1014.16
Mostly Cloudy,rain,9.872222222,7.933333333,0.78,13.7494,1014.24
Mostly Cloudy,rain,12.22222222,12.22222222,0.72,15.6331,1014.25
Mostly Cloudy,rain,15.09444444,15.09444444,0.61,17.549,1013.96
Mostly Cloudy,rain,17.35555556,17.35555556,0.52,22.7815,1013.85
Mostly Cloudy,rain,19.00555556,19.00555556,0.46,23.8924,1013.04
Mostly Cloudy,rain,20.04444444,20.04444444,0.4,28.3682,1012.22
Mostly Cloudy,rain,21.05,21.05,0.4,26.9031,1011.44
Mostly Cloudy,rain,21.18333333,21.18333333,0.37,25.6956,1010.52
Mostly Cloudy,rain,20.11666667,20.11666667,0.4,25.3092,1009.83
Mostly Cloudy,rain,20.21666667,20.21666667,0.36,18.1125,1009.26
Mostly Cloudy,rain,20,20,0.43,23.4255,1008.76
Mostly Cloudy,rain,17.8,17.8,0.5,20.0445,1008.36
Mostly Cloudy,rain,16.06111111,16.06111111,0.53,21.3969,1008.11
Mostly Cloudy,rain,15.02222222,15.02222222,0.55,21.3808,1008.15
Overcast,rain,14.42222222,14.42222222,0.58,20.0123,1007.85
Overcast,rain,14.25555556,14.25555556,0.59,16.5025,1007.89
Overcast,rain,13.77222222,13.77222222,0.6,17.0982,1007.36
Overcast,rain,13.28333333,13.28333333,0.63,14.3612,1007.26
